City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Yulara,AU,2022-02-02 05:41:19,-25.2406,130.9889,71.44,88,100,13.8
266,Cabedelo,BR,2022-02-02 05:39:38,-6.9811,-34.8339,77.67,76,39,7.92
267,Brownsville,US,2022-02-02 05:41:20,25.9018,-97.4975,64.9,93,1,1.99
268,Concepcion Del Oro,MX,2022-02-02 05:41:20,24.6333,-101.4167,52.61,13,0,5.26
269,Marzuq,YE,2022-02-02 05:41:20,14.4,46.4667,70.75,47,91,4.74
270,Palasbari,IN,2022-02-02 05:42:21,26.1361,91.5486,68.86,82,75,0.0
271,Amahai,ID,2022-02-02 05:42:21,-3.3333,128.9167,85.41,62,97,5.73
272,Darhan,MN,2022-02-02 05:42:22,49.4867,105.9228,1.4,80,26,3.65
273,Ocnita,RO,2022-02-02 05:42:22,44.9833,25.55,32.11,99,100,2.35
274,Fort Nelson,CA,2022-02-02 05:38:08,58.8053,-122.7002,-24.21,76,0,3.44
275,Eyl,SO,2022-02-02 05:42:23,7.9803,49.8164,80.13,62,89,19.33
276,Harper,LR,2022-02-02 05:42:23,4.375,-7.7169,77.56,82,100,3.89
277,Aleksandrov Gay,RU,2022-02-02 05:42:24,50.147,48.5704,27.63,98,100,9.31
278,Amboasary,MG,2022-02-02 05:42:24,-25.0333,46.3833,82.24,51,0,5.37
279,Cabo San Lucas,MX,2022-02-02 05:42:25,22.8909,-109.9124,68.5,70,0,11.99
280,Boa Vista,BR,2022-02-02 05:42:25,2.8197,-60.6733,78.78,69,0,10.36
281,Airai,TL,2022-02-02 05:42:26,-8.9266,125.4092,74.55,54,44,6.06
282,Zhezkazgan,KZ,2022-02-02 05:42:26,47.8043,67.7144,4.98,92,90,6.71
283,Umm Lajj,SA,2022-02-02 05:42:27,25.0213,37.2685,68.88,23,0,3.2
284,Mao,ES,2022-02-02 05:42:27,39.8885,4.2658,52.36,87,20,12.66
285,Entebbe,UG,2022-02-02 05:42:27,0.0644,32.4469,70.12,94,20,3.44
286,Mount Gambier,AU,2022-02-02 05:42:28,-37.8333,140.7667,67.91,37,100,14.97
287,Haines Junction,CA,2022-02-02 05:42:28,60.7522,-137.5108,-14.85,76,100,0.0
288,Sioux Lookout,CA,2022-02-02 05:42:29,50.1001,-91.917,-2.13,78,100,14.97
289,Hami,CN,2022-02-02 05:42:30,42.8,93.45,27.91,24,100,1.81
290,Atar,MR,2022-02-02 05:42:30,20.5169,-13.0499,72.1,15,73,11.92
291,Am Timan,TD,2022-02-02 05:42:30,11.0297,20.2827,67.86,22,4,3.78
292,Yamada,JP,2022-02-02 05:42:31,39.4667,141.95,37.54,45,87,10.85
